Parameters,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
Relative Humidity,1993,66.62,62.25,52.62,73.75,77.12,85.5,87.88,85.88,82.94,79.5,67.56,59.94,73.5
Relative Humidity,1994,50.38,45.62,59.5,65.38,72.25,85.25,87.69,87.12,83.25,71,66.38,58.62,69.5
Relative Humidity,1995,44.75,60.69,63.69,71.06,72.62,78.81,86.5,86.38,82.06,75.31,63.94,67.75,71.19
Relative Humidity,1996,67.88,52.62,67.81,74.56,76.31,85.44,88.25,86.81,85.12,74.62,68.25,60.56,74.06
Relative Humidity,1997,64.88,42,55.06,74.12,76.75,83.88,86.94,85.19,82.31,82.19,79.44,72.5,73.94
Relative Humidity,1998,71.88,69.06,65.12,62.88,75.69,82.88,88.81,88.5,85.44,83.62,68,58.56,75.06
Relative Humidity,1999,59.06,43.19,58.44,57.5,77.31,82.56,86.5,85.94,83.62,80.69,64.62,62.06,70.31
Relative Humidity,2000,49.25,38.44,36.62,64.88,76.38,83.19,85.06,84.5,83.62,77.25,69.31,62.12,67.62
Relative Humidity,2001,62.56,49.81,64.12,63.44,74.19,83.19,84.62,85.75,80.56,73.81,62,57.81,70.31
Relative Humidity,2002,60.19,41.56,64.94,65.19,67.94,79.94,82.25,83.19,78.69,66.06,52.25,63.06,67.31
Relative Humidity,2003,52,43.31,55.75,58.62,50.88,76.69,82.56,84.38,81.06,64.19,59.88,55.81,63.88
Relative Humidity,2004,52.69,40.25,37.94,67,60.06,77.69,81.75,83.12,80,69.56,60.88,58.06,64.12
Relative Humidity,2005,54.56,37.5,60.75,58.38,75,80.12,84.62,83.44,82.62,69.5,60.06,43.81,66.06
Relative Humidity,2006,46.69,49.69,61.38,67.06,71.19,82.19,86.56,87.31,84.06,78.75,68.06,70,71.19
Relative Humidity,2007,63,61.69,53.62,68,73.56,83.44,86.06,87.5,85.38,69.12,63.44,53.25,70.69
Relative Humidity,2008,49.5,42.56,32.12,63.44,75.94,82.44,85.06,84.88,82,73.5,69.69,61.81,66.94
Relative Humidity,2009,62.44,54.94,54.5,66.56,64.12,77.38,83.75,83.81,79.44,75.06,62.94,73.12,69.94
Relative Humidity,2010,59.31,69.12,62.62,70.75,80.62,83.75,87.19,87.94,84.69,72,64.81,62.94,73.81
Relative Humidity,2011,59.75,46.38,51.81,63.06,75.5,83.75,83.5,85.31,82.75,65.75,71.88,54.69,68.81
Relative Humidity,2012,44.69,34.69,41.94,67,68.75,80,84.75,86.12,84.06,69.75,64.69,60.44,65.62
Relative Humidity,2013,57.75,44.44,61.38,69.44,80.12,86.69,88.69,87.62,83.62,75.94,72.38,61.62,72.62
Relative Humidity,2014,61.25,61.44,62.38,73.69,79.62,80.44,86.56,86.56,84.69,77.5,70.06,63.94,74.06
