Parameters,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
Relative Humidity,1993,71,66.5,57.44,77.25,81.88,89.06,89.19,87.25,83.31,81.69,69.56,60.88,76.31
Relative Humidity,1994,50.38,47.94,62.31,72.75,79,87.62,89.62,88.62,84.25,74.94,69.25,61.75,72.5
Relative Humidity,1995,48.31,59.94,68.31,77.38,79.31,84.31,89.44,88.06,84.75,79.94,67.06,70,74.81
Relative Humidity,1996,69.75,56.44,71.56,79.25,81.62,88.69,89.75,88.75,87.31,79,70.69,62.69,77.19
Relative Humidity,1997,66.06,43.44,56.19,79.69,82.31,86.88,88.69,86.31,83.75,85,82.06,74.75,76.44
Relative Humidity,1998,74.38,73.81,70.31,71.69,82.06,85.31,90.56,89.25,84.94,85.38,70.81,60.5,78.31
Relative Humidity,1999,59.69,44.19,64.5,67.44,81.62,84,87.12,86.12,83.06,83,67.12,62.31,72.75
Relative Humidity,2000,48.19,35.81,34,67.94,79.5,82.31,83.44,82.69,81.44,78.69,69.94,61.44,67.19
Relative Humidity,2001,61.56,49.75,63.44,71.88,80.56,84.94,84.94,85.19,80.94,76.12,64.31,58.31,71.94
Relative Humidity,2002,60.5,40.56,67.25,70.19,76.69,82.62,81.06,81.69,77.56,69.75,53.62,65.88,69.12
Relative Humidity,2003,55.25,41.81,57.56,66.69,64.5,79.88,81.38,84.19,79.94,64.06,59.94,57.06,66.19
Relative Humidity,2004,56.06,43.56,41.44,76.06,71,80,80.25,81.88,79.44,70.19,62.12,58.75,66.75
Relative Humidity,2005,55.94,38.81,65.25,64.56,80,84.5,85.81,83.31,82.81,71.75,62.75,44.69,68.5
Relative Humidity,2006,46.19,53.62,67.88,74.31,78.69,84.88,88.75,88.31,85.19,81.94,70.12,72.12,74.44
Relative Humidity,2007,66.56,64.81,58.62,73.12,78.69,86.12,87.5,89.06,87,72.5,66.12,55.69,73.88
Relative Humidity,2008,50.25,43.44,34.56,71,81.25,84.56,86.25,86.25,83.69,76.94,71.88,62.75,69.44
Relative Humidity,2009,63.31,55.62,55.12,72.5,71.44,79.06,82.88,83.69,81.06,77.38,64.88,74.62,71.94
